"Qty"	"Value"	"Part Num"	"Package"	"Parts"	"Mfg Name"	"VID"	"Vendor Part Num"	"Description"	"Pkg Code"	"XREF"
"1"	""	"395443002"	"W237-102"	"JP300"	"Molex"	"DK"	"WM7853-ND"	"CONN TERMINAL BLOCK 2POS 5.08MM"	"*"	"REF13"
"1"	"1.5K OHMS"	"CRCW04021K50FKED"	"RESC1005X40N"	"R312"	"Vishay Dale"	"DK"	"541-1.50KLCT-ND"	"RES SMD 1.5K OHM 1% 1/16W 0402"	"0402"	"REF24"
"1"	"1M OHM"	"CRCW04021M00DHEDP"	"RESC1005X40N"	"R313"	"Vishay Dale"	"DK"	"541-1.0MAVCT-ND"	"RES SMD 1M OHM 0.5% 1/16W 0402"	"0402"	"REF22"
"2"	"1M OHMS"	"CRCW04021M00DHEDP"	"RESC1005X40N"	"R208, R211"	"Vishay Dale"	"DK"	"541-1.0MAVCT-ND"	"RES SMD 1M OHM 0.5% 1/16W 0402"	"0402"	"REF22"
"6"	"1NF"	"GRM1555C1H102JA01D"	"CAPC1005X60N"	"C307, C308, C311, C312, C318, C319"	"Murata Electronics North America"	"DK"	"490-3244-1-ND"	"1n NP0 Cap"	"CAPC1005X60N"	"REF5"
"14"	"1UF"	"GRM155R61A105KE15D"	"CAPC1005X60N"	"C216, C221, C304, C313, C316, C320, C321, C322, C331, C332, C333, C402, C405, C406"	"Murata Electronics North America"	"DK"	"490-3890-1-ND"	"1u X5R 0402 Cap"	"CAPC1005X60N"	"REF2"
"16"	"2.49K OHMS"	"CRCW04021K50FKED"	"RESC1005X40N"	"R203, R204, R205, R207, R401, R402, R403, R404, R405, R406, R407, R408, R409, R411, R412, R414"	"Vishay Dale"	"DK"	"541-1.50KLCT-ND"	"RES SMD 1.5K OHM 1% 1/16W 0402"	"0402"	"REF24"
"1"	"2.49K OHMS"	"CRCW04022K49FKED"	"RESC1005X40N"	"R311"	"Vishay Dale"	"DK"	"541-2.49KLCT-ND"	"RES SMD 2.49K OHM 1% 1/16W 0402"	"0402"	"REF27"
"1"	"3.6V"	"1SMB5914BT3G"	"SMB"	"DZ301"	"ON Semiconductor"	"DK"	"1SMB5914BT3GOSCT-ND"	"DIODE ZENER 3.6V 3W SMB/DO214-AA"	"SMB"	"REF8"
"1"	"3V3_SRC"	"901200763"	"JP2"	"JP301"	"Molex"	"DK"	"WM8085-ND"	"CONN HEADER 3POS .100"" STR GOLD"	"*"	"REF14"
