Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "20150403_QSE_TO_FMC_R5.6.5_TO.brd" as of: 4/3/2015 7:33:22 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Bottom,4.216,2.554,270
C100,Bottom,2.380,2.283,270
C101,Bottom,2.420,2.283,270
C201,Bottom,3.988,2.056,270
C202,Bottom,3.864,2.056,270
C203,Bottom,3.616,2.056,270
C204,Bottom,3.740,2.056,270
C205,Bottom,3.952,2.056,270
C206,Bottom,3.828,2.056,270
C207,Bottom,3.440,2.372,270
C208,Bottom,3.580,2.056,270
C209,Bottom,3.398,2.372,270
C210,Bottom,3.704,2.056,270
C211,Bottom,3.535,2.584,0
C212,Bottom,3.964,2.608,180
C213,Bottom,3.948,2.312,270
C214,Bottom,3.592,2.304,180
C215,Bottom,3.548,2.468,270
C216,Bottom,3.981,2.568,0
C217,Bottom,3.830,2.728,270
C218,Bottom,3.918,2.728,270
C219,Bottom,3.738,2.728,270
C220,Bottom,3.647,2.728,270
C221,Bottom,3.534,2.540,180
C222,Bottom,3.882,2.728,270
C223,Bottom,3.793,2.728,270
C224,Bottom,3.610,2.728,270
C225,Bottom,3.701,2.728,270
C227,Bottom,3.958,2.430,180
C301,Bottom,3.021,2.934,270
C302,Bottom,2.972,2.935,270
C303,Bottom,2.917,2.952,270
C304,Bottom,4.262,2.738,0
C305,Bottom,2.852,2.952,270
C306,Bottom,4.262,2.780,0
C307,Bottom,3.068,2.934,270
C308,Bottom,3.116,2.934,270
C309,Bottom,3.001,2.518,270
C310,Bottom,3.002,2.686,90
C311,Bottom,2.953,2.518,270
C312,Bottom,2.952,2.686,90
C313,Bottom,4.560,2.494,270
C314,Bottom,3.106,2.376,0
C315,Bottom,3.038,2.332,180
C316,Bottom,4.464,3.112,0
C317,Bottom,3.038,2.287,180
C318,Bottom,3.106,2.286,0
C319,Bottom,3.106,2.331,0
C320,Bottom,3.038,2.377,180
C321,Bottom,3.106,2.242,0
C322,Bottom,3.056,3.244,270
C323,Bottom,0.396,0.560,180
C324,Bottom,0.409,0.638,180
C325,Bottom,5.470,0.654,270
C326,Bottom,5.385,0.655,270
C327,Bottom,5.400,2.464,270
C328,Bottom,5.464,2.448,270
C329,Bottom,0.500,2.464,270
C330,Bottom,0.556,2.452,270
C331,Bottom,1.388,2.680,270
C332,Bottom,1.392,3.180,270
C333,Bottom,1.582,1.621,180
C334,Bottom,3.279,2.220,90
C335,Bottom,3.330,2.208,90
C401,Bottom,1.280,2.700,270
C402,Bottom,1.236,2.700,270
C403,Bottom,4.847,2.607,90
C404,Bottom,1.027,2.596,90
C405,Bottom,4.269,2.549,0
C406,Bottom,1.120,2.576,180
D302,Bottom,4.298,2.903,90
D303,Bottom,2.575,2.700,270
D304,Bottom,4.402,2.737,270
D305,Bottom,1.785,3.178,90
D306,Bottom,1.532,2.640,270
D307,Bottom,1.408,2.856,270
DZ301,Bottom,2.784,2.704,270
F301,Bottom,2.437,2.880,180
J101_GBCTCLK1_N,Bottom,2.120,2.300,270
J102-GBCTCLK1_P,Bottom,2.680,2.300,90
JA_FMC:JA1_FMC1,Bottom,4.042,1.607,180
JP200,Bottom,4.222,2.096,180
L301,Bottom,3.071,2.591,90
L302,Bottom,2.983,2.788,90
L303,Bottom,3.068,2.468,270
L304,Bottom,3.068,2.718,270
L305,Bottom,2.213,2.881,0
L306,Bottom,2.212,2.820,0
L307,Bottom,3.184,2.804,90
LED301,Bottom,2.740,3.140,0
LED302,Bottom,2.412,3.156,0
LED303,Bottom,4.388,3.196,270
LED304,Bottom,1.470,3.259,0
LED305,Bottom,3.132,3.236,0
LED306,Bottom,1.348,3.204,270
QSE_J401,Top,5.017,2.569,270
QSE_J402,Top,0.686,2.569,270
R201,Bottom,3.440,2.264,90
R202,Bottom,3.398,2.264,270
R203,Bottom,4.176,2.540,270
R204,Bottom,4.032,2.540,270
R205,Bottom,4.068,2.540,270
R207,Bottom,4.140,2.540,270
R208,Bottom,3.478,2.703,180
R209,Bottom,3.392,2.479,90
R210,Bottom,3.441,2.478,90
R211,Bottom,3.546,2.679,90
R212,Bottom,3.228,3.130,180
R214,Bottom,4.104,2.480,270
R215,Bottom,4.236,2.018,0
R301,Bottom,2.628,3.120,270
R302,Bottom,2.688,3.120,90
R303,Bottom,2.344,3.140,270
R304,Bottom,2.344,3.236,270
R305,Bottom,4.391,3.025,270
R306,Bottom,1.523,3.140,90
R307,Bottom,1.476,3.142,270
R308,Bottom,3.328,2.672,270
R309,Bottom,3.285,2.672,270
R310,Bottom,1.305,3.152,270
R311,Bottom,3.184,2.716,270
R312,Bottom,3.184,2.615,270
R313,Bottom,1.569,1.672,0
R401,Bottom,1.052,2.524,180
R402,Bottom,1.052,2.476,180
R403,Bottom,1.052,2.432,180
R404,Bottom,4.868,2.512,180
R405,Bottom,1.052,2.388,180
R406,Bottom,4.868,2.468,180
R407,Bottom,0.644,2.388,270
R408,Bottom,4.868,2.424,180
R409,Bottom,1.052,2.344,180
R410,Bottom,4.282,2.636,0
R411,Bottom,1.052,2.300,180
R412,Bottom,4.868,2.380,180
R413,Bottom,1.296,2.628,180
R414,Bottom,1.052,2.256,180
R415,Bottom,4.282,2.596,180
R416,Bottom,1.200,2.628,180
U201,Bottom,3.498,2.796,90
U202,Bottom,3.762,2.453,0
U203,Bottom,3.825,2.856,270
U205,Bottom,3.707,2.856,270
U301,Bottom,4.264,2.680,180
U302,Bottom,1.344,2.692,180
U401,Bottom,4.371,2.363,0
U402,Bottom,1.300,2.436,0
